timestamp,policy,test_steps,seed,beta,alpha,travel_time,throughput,queue,delay_ratio_apx,rewards,decisions,ugat_agreement_rate,cmp_ugat_score_mse,cmp_ugat_normalized_score_mse,mean_selected_phase_pressure,mean_upstream_speed_ratio,mean_downstream_speed_ratio,adapter_decisions,adapter_uncertain_decisions,adapter_overrides,adapter_downstream_vetoes
2026-08-16T04:21:11,cmp_frap,100,4444,0.6,0.6,37.81042654028436,97.0,5.119999885559082,0.22709177434444427,-35.52000045776367,9.0,0.5777777777777777,4528027.572265625,0.16508566393620439,30.849507207671802,0.23651986506041225,0.2211649573433002,50,7,0,
2026-08-16T04:22:56,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T04:24:45,cmp_frap,9000,4444,0.6,0.6,1150.4836480884385,2171.0,8.85022258758545,0.15042650699615479,-70.81749725341797,899.0,0.44582869855394885,3659499.0158507423,0.388263103285152,16.332058623791134,0.03976297559078779,0.06543251058502324,4500,2542,89,
2026-08-16T04:26:43,cmp_frap,9000,4444,0.6,0.6,1021.4619990787655,2171.0,8.32800006866455,0.14584743976593018,-66.94255828857422,899.0,0.4480533926585095,3473159.184035844,0.38452509280920416,15.74069613285603,0.04065499593282597,0.06696204450596074,4500,2606,22,
2026-08-16T04:28:42,cmp_frap,9000,4444,0.6,0.6,988.3173652694611,2171.0,8.360221862792969,0.14356139302253723,-67.40283203125,899.0,0.44249165739710794,3535151.5008546486,0.38600649311114765,15.897254685218945,0.03837220289918437,0.06506925905814995,4500,2633,38,
2026-08-16T04:30:40,cmp_frap,9000,4444,0.6,0.6,1027.7724550898204,2171.0,8.360666275024414,0.14429084956645966,-67.56831359863281,899.0,0.44671857619577315,3491458.4402353736,0.3868365397966181,15.63870555597831,0.03825393672082621,0.06416258862981243,4500,2617,26,
2026-08-16T04:37:20,cmp_frap,9000,4444,0.6,0.6,988.3173652694611,2171.0,8.360221862792969,0.14356139302253723,-67.40283203125,899.0,0.44249165739710794,3535151.5008546486,0.38600649311114765,15.897254685218945,0.03837220289918437,0.06506925905814995,4500,2633,38,
2026-08-16T04:39:17,cmp_frap,9000,4444,0.6,0.6,1053.3205895900508,2171.0,8.542222023010254,0.14735780656337738,-69.09339141845703,899.0,0.4547274749721913,3321032.8784402916,0.3839324166964647,15.252844513540424,0.03757516580937391,0.06315257267671953,4500,2496,16,
2026-08-16T04:41:17,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T04:43:24,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T04:45:32,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T04:47:18,cmp_frap,9000,4444,0.6,0.6,988.3173652694611,2171.0,8.360221862792969,0.14356139302253723,-67.40283203125,899.0,0.44249165739710794,3535151.5008546486,0.38600649311114765,15.897254685218945,0.03837220289918437,0.06506925905814995,4500,2633,38,
2026-08-16T04:49:08,cmp_frap,9000,4444,0.6,0.6,1053.3205895900508,2171.0,8.542222023010254,0.14735780656337738,-69.09339141845703,899.0,0.4547274749721913,3321032.8784402916,0.3839324166964647,15.252844513540424,0.03757516580937391,0.06315257267671953,4500,2496,16,
2026-08-16T04:51:07,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T04:53:15,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T05:36:01,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T05:37:23,cmp_frap,9000,4444,0.6,0.6,988.3173652694611,2171.0,8.360221862792969,0.14356139302253723,-67.40283203125,899.0,0.44249165739710794,3535151.5008546486,0.38600649311114765,15.897254685218945,0.03837220289918437,0.06506925905814995,4500,2633,38,
2026-08-16T05:39:11,cmp_frap,9000,4444,0.6,0.6,1053.3205895900508,2171.0,8.542222023010254,0.14735780656337738,-69.09339141845703,899.0,0.4547274749721913,3321032.8784402916,0.3839324166964647,15.252844513540424,0.03757516580937391,0.06315257267671953,4500,2496,16,
2026-08-16T05:41:13,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T05:43:13,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T05:45:19,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T05:46:28,cmp_frap,9000,4444,0.6,0.6,988.3173652694611,2171.0,8.360221862792969,0.14356139302253723,-67.40283203125,899.0,0.44249165739710794,3535151.5008546486,0.38600649311114765,15.897254685218945,0.03837220289918437,0.06506925905814995,4500,2633,38,
2026-08-16T05:48:13,cmp_frap,9000,4444,0.6,0.6,1053.3205895900508,2171.0,8.542222023010254,0.14735780656337738,-69.09339141845703,899.0,0.4547274749721913,3321032.8784402916,0.3839324166964647,15.252844513540424,0.03757516580937391,0.06315257267671953,4500,2496,16,
2026-08-16T05:50:18,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T05:52:23,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T05:54:31,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T05:58:09,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T05:59:02,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T05:59:54,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,
2026-08-16T06:07:15,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,0
2026-08-16T06:08:46,cmp_frap,9000,4444,0.6,0.6,1019.0248733302626,2171.0,8.264222145080566,0.14652371406555176,-66.45194244384766,899.0,0.44493882091212467,3494956.0326472507,0.3908270186392406,15.522972997383226,0.03924282415985332,0.06528568055682557,4500,2627,0,0
